page,index_on_page,filename,bytes,extension,sha256,is_duplicate,first_seen_as
1,1,page_001/2026SS_p001_001.png,1810,png,69d4695e0281bf784a6240cad786c117890c799f5e735aa3990cc2a340046848,no,
1,2,page_001/2026SS_p001_002.jpg,75863,jpg,4ec61341b9036b94b3e48582ca0295b05a73f8ee1989666ecd29ac5c60318b21,no,
2,1,page_002/2026SS_p002_001.jp2,564428,jp2,7e50b6b883ddfe2db0385a272388ca171e6cd08220d380159589f30f19a489c7,no,
2,2,page_002/2026SS_p002_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,no,
3,1,page_003/2026SS_p003_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
3,2,page_003/2026SS_p003_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
3,3,page_003/2026SS_p003_003.jpg,87193,jpg,9e52eae2d282149f4dbe3690122131509cc5d11daef259a712947625fa87a039,no,
3,4,page_003/2026SS_p003_004.jpg,5805,jpg,2aa26940c88982cb284fbf95a08fd365beccea82e45addf47c33732e17e960ad,no,
3,5,page_003/2026SS_p003_005.jpg,3236,jpg,92a4f74a033b3b15bb75f921bdba4c9cf5e1e7a63e2309ccb33f61617c457a97,no,
3,6,page_003/2026SS_p003_006.jpg,2826,jpg,50c828f8cd994c02a1226bbb0c7be943282c01036a74decb3b43fffc186b146e,no,
3,7,page_003/2026SS_p003_007.jpg,2699,jpg,6ec4134191febde1cb204cba526dd5f049584051212615883166b9b7d89f47d2,no,
3,8,page_003/2026SS_p003_008.jpg,3728,jpg,77799276d980feb796faddd6fea2f844c4cf0c3d3293ad948d602a7b2ab07a1c,no,
3,9,page_003/2026SS_p003_009.jpg,3822,jpg,59c995d690a4b125eb5e466b42c431ec652cce8feab4d42d5de0474cf727195b,no,
3,10,page_003/2026SS_p003_010.jpg,3178,jpg,54b352fca5309c2a110ac6dce18b6725e0e8a63340e5b928ae315907abd102c0,no,
3,11,page_003/2026SS_p003_011.jpg,3204,jpg,029799a0cff5c372ea85cbf29802903fd64edf2af612405b70a6bf9192653457,no,
3,12,page_003/2026SS_p003_012.jpg,2932,jpg,21d871f02ae7e57842139d1d2c0918bc12765a7dbada36c972d7beee53548fbd,no,
3,13,page_003/2026SS_p003_013.jpg,3487,jpg,4718e54369313fd437dd904905064da0485f8c0c64f7c4bcbda91e77f62f0c53,no,
4,1,page_004/2026SS_p004_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
4,2,page_004/2026SS_p004_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
4,3,page_004/2026SS_p004_003.jpg,66070,jpg,1c73d30791b36420da5fc474cc780e76396c19471e6c52318bb542d6944104d0,no,
4,4,page_004/2026SS_p004_004.jpg,6835,jpg,3f5401bd4f7c1a43a760fabbf2437934182aefe3038d95d15806fac4c738e716,no,
4,5,page_004/2026SS_p004_005.jpg,3829,jpg,c7bc4082594f62a3fe43fc9c620aed0d61b7b894168bd7a7ec855278ec264855,no,
4,6,page_004/2026SS_p004_006.jpg,3836,jpg,88f81874b911c4b7f2ffea4ad1946d2035b753e73bb6e4f3371a3ff62eeb4f13,no,
4,7,page_004/2026SS_p004_007.jpg,4159,jpg,37a90db8b96e01464c2ba3637fee09bb3e6dcb8244b49210f58be4a3e9d4e71c,no,
4,8,page_004/2026SS_p004_008.jpg,4720,jpg,0d8f1ef850f284d60585c275f002611c8a94ecd672aa8142269c2fa19a73bc83,no,
4,9,page_004/2026SS_p004_009.jpg,4401,jpg,84b6a0311b0721fe8b5885e971955d73a3395d3ea2a7a48d2bdd3b13e5286141,no,
4,10,page_004/2026SS_p004_010.jpg,6199,jpg,14d208fc63455c3de47b85b4cbf6ec321f82e895ff02b3cb2e0166b765db61de,no,
5,1,page_005/2026SS_p005_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
5,2,page_005/2026SS_p005_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
5,3,page_005/2026SS_p005_003.jpg,6096,jpg,5e6371be761066936e0af1becf4c23b9bdfd120a02ed25b47f3aec45fd071815,no,
5,4,page_005/2026SS_p005_004.jpg,6189,jpg,6d2f2247f5c51b0cc9e6da41fe75a5b5bb8fd970dcbf6b6707c2a35648c46f37,no,
5,5,page_005/2026SS_p005_005.jpg,5697,jpg,dc094e6a8f0660c6fa6f50a9284f518fcfd746b35ddfff3f720c646f36064611,no,
